timestamp_utc,timestamp_peru,timestamp_nl,datum_ticket,dagen_vooruit,ruta,aforo,verkocht,beschikbaar,turnos_entregados,turnos_disponibles
2026-09-21T17:48:24.877Z,2026-09-21 12:48:24,2026-09-21 19:48:24,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-21T18:08:32.346Z,2026-09-21 13:08:32,2026-09-21 20:08:32,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,38,12,1000,0
2026-09-21T18:08:32.346Z,2026-09-21 13:08:32,2026-09-21 20:08:32,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-21T18:28:35.063Z,2026-09-21 13:28:35,2026-09-21 20:28:35,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,41,9,1000,0
2026-09-21T18:28:35.063Z,2026-09-21 13:28:35,2026-09-21 20:28:35,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-21T18:42:51.043Z,2026-09-21 13:42:51,2026-09-21 20:42:51,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,41,9,1000,0
2026-09-21T18:42:51.043Z,2026-09-21 13:42:51,2026-09-21 20:42:51,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-21T18:47:38.563Z,2026-09-21 13:47:38,2026-09-21 20:47:38,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,42,8,1000,0
2026-09-21T18:47:38.563Z,2026-09-21 13:47:38,2026-09-21 20:47:38,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-21T18:52:58.508Z,2026-09-21 13:52:58,2026-09-21 20:52:58,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,42,8,1000,0
